id,id,clothtype,type,price,pricerate,weight,quality,level,material,occupation,condition1,condition2,stat1a,stat1b,stat2a,stat2b,defense,magicresistence,range,attackpower,attackspeed,itemgrade,name,icon,description,blue,union points
,320,3,131,26550,0,20,58,,,41|41|41,31|45,0|0,0,0,0,0,50,17,,,,3,Trunket Armor,301,A heavy armor that efficiently protects its wearer.,11,
,321,3,131,57600,0,20,47,,,41|41|41,31|65,0|0,0,0,13,7,67,23,,,,4,Shadow Chrome Armor,302,A very sturdy yet light armor that is forged out of a rare metal.,2,
,322,3,131,57600,0,20,47,,,41|41|41,31|65,0|0,0,0,11,7,67,23,,,,4,Shining Chrome Armor,302,A very sturdy yet light armor that is forged out of a rare metal.,3,
,323,3,131,57600,0,20,47,,,41|41|41,31|65,0|0,0,0,12,7,67,23,,,,4,Angelic Chrome Armor,302,A very sturdy yet light armor that is forged out of a rare metal.,4,
,324,3,131,57600,0,20,53,,,41|41|41,31|65,0|0,0,0,10,7,67,23,,,,4,Saintly Chrome Armor,302,A very sturdy yet light armor that is forged out of a rare metal.,5,
,325,3,131,57600,0,20,56,,,41|41|41,31|65,0|0,0,0,15,7,67,23,,,,4,Sage Chrome Armor,302,A very sturdy yet light armor that is forged out of a rare metal.,10,
,326,3,131,57600,0,20,61,,,41|41|41,31|60,0|0,0,0,0,0,67,23,,,,4,Fabulous Chrome Armor,302,A very sturdy yet light armor that is forged out of a rare metal.,8,
,327,3,131,57600,0,20,64,,,41|41|41,31|65,0|0,0,0,0,0,67,23,,,,4,Chrome Armor,302,A very sturdy yet light armor that is forged out of a rare metal.,11,
,328,3,131,104475,0,20,52,,,41|41|41,31|85,0|0,0,0,13,9,87,29,,,,5,Shadow Mighty Armor,303,A lightweight but very reliable armor.,2,
,329,3,131,104475,0,20,52,,,41|41|41,31|85,0|0,0,0,11,9,87,29,,,,5,Shining Mighty Armor,303,A lightweight but very reliable armor.,3,
,330,3,131,104475,0,20,52,,,41|41|41,31|85,0|0,0,0,12,9,87,29,,,,5,Angelic Mighty Armor,303,A lightweight but very reliable armor.,4,
,331,3,131,104475,0,20,57,,,41|41|41,31|85,0|0,0,0,10,9,87,29,,,,5,Saintly Mighty Armor,303,A lightweight but very reliable armor.,5,
,332,3,131,104475,0,20,60,,,41|41|41,31|85,0|0,0,0,15,9,87,29,,,,5,Sage Mighty Armor,303,A lightweight but very reliable armor.,10,
,333,3,131,104475,0,20,63,,,41|41|41,31|80,0|0,0,0,0,0,87,29,,,,5,Fabulous Mighty Armor,303,A lightweight but very reliable armor.,8,
,334,3,131,104475,0,20,66,,,41|41|41,31|85,0|0,0,0,0,0,87,29,,,,5,Mighty Armor,303,A lightweight but very reliable armor.,11,
,335,3,131,173325,0,20,57,,,51|51|51,31|105,0|0,0,0,13,11,110,35,,,,6,Shadow Kurash Armor,304,An ornate yet reliable armor whose splendor even impresses the enemy.,2,
,336,3,131,173325,0,20,57,,,51|51|51,31|105,0|0,0,0,11,11,110,35,,,,6,Shining Kurash Armor,304,An ornate yet reliable armor whose splendor even impresses the enemy.,3,
,337,3,131,173325,0,20,57,,,51|51|51,31|105,0|0,0,0,12,11,110,35,,,,6,Angelic Kurash Armor,304,An ornate yet reliable armor whose splendor even impresses the enemy.,4,
,338,3,131,173325,0,20,62,,,51|51|51,31|105,0|0,0,0,10,11,110,35,,,,6,Saintly Kurash Armor,304,An ornate yet reliable armor whose splendor even impresses the enemy.,5,
,339,3,131,173325,0,20,65,,,51|51|51,31|105,0|0,0,0,15,11,110,35,,,,6,Sage Kurash Armor,304,An ornate yet reliable armor whose splendor even impresses the enemy.,10,
,340,3,131,173325,0,20,68,,,51|51|51,31|100,0|0,0,0,0,0,110,35,,,,6,Fabulous Kurash Armor,304,An ornate yet reliable armor whose splendor even impresses the enemy.,8,
,341,3,131,173325,0,20,71,,,51|51|51,31|105,0|0,0,0,0,0,110,35,,,,6,Kurash Armor,304,An ornate yet reliable armor whose splendor even impresses the enemy.,11,
,342,3,131,273900,0,20,62,,,51|51|51,31|125,0|0,0,0,13,13,136,41,,,,6,Shadow Plate Armor,305,The best armor: it is well-designed and excellent in every aspect.,2,
,343,3,131,273900,0,20,62,,,51|51|51,31|125,0|0,0,0,11,13,136,41,,,,6,Shining Plate Armor,305,The best armor: it is well-designed and excellent in every aspect.,3,
,344,3,131,273900,0,20,62,,,51|51|51,31|125,0|0,0,0,12,13,136,41,,,,6,Angelic Plate Armor,305,The best armor: it is well-designed and excellent in every aspect.,4,
,345,3,131,273900,0,20,67,,,51|51|51,31|125,0|0,0,0,10,13,136,41,,,,6,Saintly Plate Armor,305,The best armor: it is well-designed and excellent in every aspect.,5,
,346,3,131,273900,0,20,70,,,51|51|51,31|125,0|0,0,0,15,13,136,41,,,,6,Sage Plate Armor,305,The best armor: it is well-designed and excellent in every aspect.,10,
,347,3,131,273900,0,20,73,,,51|51|51,31|120,0|0,0,0,0,0,136,41,,,,6,Fabulous Plate Armor,305,The best armor: it is well-designed and excellent in every aspect.,8,
,348,3,131,273900,0,20,76,,,51|51|51,31|125,0|0,0,0,0,0,136,41,,,,6,Plate Armor,305,The best armor: it is well-designed and excellent in every aspect.,11,
,349,3,131,400882,0,20,67,,,51|51|51,31|145,0|0,0,0,13,15,165,47,,,,6,Shadow Durable Armor,306,Armor generally known for its toughness and durability.,2,
,350,3,131,400882,0,20,67,,,51|51|51,31|145,0|0,0,0,11,15,165,47,,,,6,Shining Durable Armor,306,Armor generally known for its toughness and durability.,3,
,351,3,131,400882,0,20,67,,,51|51|51,31|145,0|0,0,0,12,15,165,47,,,,6,Angelic Durable Armor,306,Armor generally known for its toughness and durability.,4,
,352,3,131,400882,0,20,72,,,51|51|51,31|145,0|0,0,0,10,15,165,47,,,,6,Saintly Durable Armor,306,Armor generally known for its toughness and durability.,5,
,353,3,131,400882,0,20,75,,,51|51|51,31|145,0|0,0,0,15,15,165,47,,,,6,Sage Durable Armor,306,Armor generally known for its toughness and durability.,10,
,354,3,131,400882,0,20,78,,,51|51|51,31|140,0|0,0,0,0,0,165,47,,,,6,Fabulous Durable Armor,306,Armor generally known for its toughness and durability.,8,
,355,3,131,400882,0,20,81,,,51|51|51,31|145,0|0,0,0,0,0,165,47,,,,6,Durable Armor,306,Armor generally known for its toughness and durability.,11,
,356,3,131,507802,0,20,72,,,51|51|51,31|165,0|0,0,0,13,17,197,53,,,,6,Shadow Cedric Armor,307,Surprisingly useful armor that was designed by a famous swordsman.,2,
,357,3,131,507802,0,20,72,,,51|51|51,31|165,0|0,0,0,11,17,197,53,,,,6,Shining Cedric Armor,307,Surprisingly useful armor that was designed by a famous swordsman.,3,
,358,3,131,507802,0,20,72,,,51|51|51,31|165,0|0,0,0,12,17,197,53,,,,6,Angelic Cedric Armor,307,Surprisingly useful armor that was designed by a famous swordsman.,4,
,359,3,131,507802,0,20,77,,,51|51|51,31|165,0|0,0,0,10,17,197,53,,,,6,Saintly Cedric Armor,307,Surprisingly useful armor that was designed by a famous swordsman.,5,
,360,3,131,507802,0,20,80,,,51|51|51,31|165,0|0,0,0,15,17,197,53,,,,6,Sage Cedric Armor,307,Surprisingly useful armor that was designed by a famous swordsman.,10,
,361,3,131,507802,0,20,83,,,51|51|51,31|160,0|0,0,0,0,0,197,53,,,,6,Fabulous Cedric Armor,307,Surprisingly useful armor that was designed by a famous swordsman.,8,
,362,3,131,507802,0,20,86,,,51|51|51,31|165,0|0,0,0,0,0,197,53,,,,6,Cedric Armor,307,Surprisingly useful armor that was designed by a famous swordsman.,11,
,363,3,131,902700,0,20,76,,,51|51|51,31|185,0|0,0,0,13,19,232,59,,,,6,Shadow Execution Armor,308,Armor intended to be worn by warriors that battle villains on a daily basis.,2,
,364,3,131,902700,0,20,76,,,51|51|51,31|185,0|0,0,0,11,19,232,59,,,,6,Shining Execution Armor,308,Armor intended to be worn by warriors that battle villains on a daily basis.,3,
,365,3,131,902700,0,20,76,,,51|51|51,31|185,0|0,0,0,12,19,232,59,,,,6,Angelic Execution Armor,308,Armor intended to be worn by warriors that battle villains on a daily basis.,4,
,366,3,131,902700,0,20,81,,,51|51|51,31|185,0|0,0,0,10,19,232,59,,,,6,Saintly Execution Armor,308,Armor intended to be worn by warriors that battle villains on a daily basis.,5,
,367,3,131,902700,0,20,83,,,51|51|51,31|185,0|0,0,0,15,19,232,59,,,,6,Sage Execution Armor,308,Armor intended to be worn by warriors that battle villains on a daily basis.,10,
,368,3,131,902700,0,20,85,,,51|51|51,31|180,0|0,0,0,0,0,232,59,,,,6,Fabulous Execution Armor,308,Armor intended to be worn by warriors that battle villains on a daily basis.,8,
,369,3,131,902700,0,20,87,,,51|51|51,31|175,0|0,0,0,30,2,232,59,,,,6,Epic Execution Armor,308,Armor intended to be worn by warriors that battle villains on a daily basis.,7,
,370,3,131,1286250,0,20,81,,,51|51|51,31|205,0|0,0,0,13,21,270,65,,,,6,Shadow Abyss Plate Mail,309,Armor forged out of a peculiar metal found at the bottom of an abyss.,2,
,371,3,131,1286250,0,20,81,,,51|51|51,31|205,0|0,0,0,11,21,270,65,,,,6,Shining Abyss Plate Mail,309,Armor forged out of a peculiar metal found at the bottom of an abyss.,3,
,372,3,131,1286250,0,20,81,,,51|51|51,31|205,0|0,0,0,12,21,270,65,,,,6,Angelic Abyss Plate Mail,309,Armor forged out of a peculiar metal found at the bottom of an abyss.,4,
,373,3,131,1286250,0,20,86,,,51|51|51,31|205,0|0,0,0,10,21,270,65,,,,6,Saintly Abyss Plate Mail,309,Armor forged out of a peculiar metal found at the bottom of an abyss.,5,
,374,3,131,1286250,0,20,88,,,51|51|51,31|205,0|0,0,0,15,21,270,65,,,,6,Sage Abyss Plate Mail,309,Armor forged out of a peculiar metal found at the bottom of an abyss.,10,
,375,3,131,1286250,0,20,90,,,51|51|51,31|200,0|0,0,0,0,0,270,65,,,,6,Fabulous Abyss Plate Mail,309,Armor forged out of a peculiar metal found at the bottom of an abyss.,8,
,376,3,131,1286250,0,20,92,,,51|51|51,31|205,0|0,0,0,0,0,270,65,,,,6,Abyss Plate Mail,309,Armor forged out of a peculiar metal found at the bottom of an abyss.,11,
,377,3,131,395925,0,20,70,,,51|51|51,31|225,0|0,0,0,13,23,311,71,,,,6,Shadow Rightous Plate Mail,310,Armor intended to be worn by heroes that fight the enemies of justice.,2,
,378,3,131,395925,0,20,73,,,51|51|51,31|225,0|0,0,0,10,23,311,71,,,,6,Saintly Rightous Plate Mail,310,Armor intended to be worn by heroes that fight the enemies of justice.,5,
,379,3,131,395925,0,20,75,,,51|51|51,31|225,0|0,0,0,15,23,311,71,,,,6,Sage Rightous Plate Mail,310,Armor intended to be worn by heroes that fight the enemies of justice.,10,
,380,3,131,902700,0,20,81,,,51|51|51,31|245,0|0,,,10,25,355,77,,,,7,Saintly Jabberwock Mail,312,Armor that shimmer freakily like the eyes of a madman.,5,
,381,3,131,902700,0,20,81,,,51|51|51,31|240,0|0,,,0,0,355,77,,,,7,Fabulous Jabberwock Mail,312,Armor that shimmer freakily like the eyes of a madman.,8,
,401,3,132,4950,0,10,31,,,42|42|42,31|5,0|0,39,33,13,1,21,11,,,,1,Shadow Spiritual Vest,338,As it brings feelings of calm to its wearer this armor is ideal for new Muses.,2,
,402,3,132,4950,0,10,31,,,42|42|42,31|5,0|0,39,33,11,1,21,11,,,,1,Shining Spiritual Vest,338,As it brings feelings of calm to its wearer this armor is ideal for new Muses.,3,
,403,3,132,4950,0,10,31,,,42|42|42,31|5,0|0,39,33,12,1,21,11,,,,1,Angelic Spiritual Vest,338,As it brings feelings of calm to its wearer this armor is ideal for new Muses.,4,
,404,3,132,4950,0,10,39,,,42|42|42,31|5,0|0,39,33,10,1,21,11,,,,1,Saintly Spiritual Vest,338,As it brings feelings of calm to its wearer this armor is ideal for new Muses.,5,
,405,3,132,4950,0,10,43,,,42|42|42,31|5,0|0,39,33,15,1,21,11,,,,1,Sage Spiritual Vest,338,As it brings feelings of calm to its wearer this armor is ideal for new Muses.,10,
,406,3,132,4950,0,10,47,,,42|42|42,31|1,0|0,39,33,0,0,21,11,,,,1,Fabulous Spiritual Vest,338,As it brings feelings of calm to its wearer this armor is ideal for new Muses.,8,
,407,3,132,14175,0,10,38,,,42|42|42,31|25,0|0,39,66,13,3,30,20,,,,2,Shadow Green Vest of Witch,339,A magic armor that is fairly popular among mages.,2,
,408,3,132,14175,0,10,38,,,42|42|42,31|25,0|0,39,66,11,3,30,20,,,,2,Shining Green Vest of Witch,339,A magic armor that is fairly popular among mages.,3,
,409,3,132,14175,0,10,38,,,42|42|42,31|25,0|0,39,66,12,3,30,20,,,,2,Angelic Green Vest of Witch,339,A magic armor that is fairly popular among mages.,4,
,410,3,132,14175,0,10,44,,,42|42|42,31|25,0|0,39,66,10,3,30,20,,,,2,Saintly Green Vest of Witch,339,A magic armor that is fairly popular among mages.,5,
,411,3,132,14175,0,10,47,,,42|42|42,31|25,0|0,39,66,15,3,30,20,,,,2,Sage Green Vest of Witch,339,A magic armor that is fairly popular among mages.,10,
,412,3,132,14175,0,10,52,,,42|42|42,31|20,0|0,39,66,0,0,30,20,,,,2,Fabulous Green Vest of Witch,339,A magic armor that is fairly popular among mages.,8,
,413,3,132,14175,0,10,55,,,42|42|42,31|25,0|0,39,66,0,0,30,20,,,,2,Green Vest of Witch,339,A magic armor that is fairly popular among mages.,11,
,414,3,132,32250,0,10,45,,,42|42|42,31|45,0|0,39,99,13,5,41,29,,,,3,Shadow Purple Vest of Witch,340,A basic armor which is favored by well-experienced mages.,2,
,415,3,132,32250,0,10,45,,,42|42|42,31|45,0|0,39,99,11,5,41,29,,,,3,Shining Purple Vest of Witch,340,A basic armor which is favored by well-experienced mages.,3,
,416,3,132,32250,0,10,45,,,42|42|42,31|45,0|0,39,99,12,5,41,29,,,,3,Angelic Purple Vest of Witch,340,A basic armor which is favored by well-experienced mages.,4,
,417,3,132,32250,0,10,51,,,42|42|42,31|45,0|0,39,99,10,5,41,29,,,,3,Saintly Purple Vest of Witch,340,A basic armor which is favored by well-experienced mages.,5,
,418,3,132,32250,0,10,54,,,42|42|42,31|45,0|0,39,99,15,5,41,29,,,,3,Sage Purple Vest of Witch,340,A basic armor which is favored by well-experienced mages.,10,
,419,3,132,32250,0,10,59,,,42|42|42,31|40,0|0,39,99,0,0,41,29,,,,3,Fabulous Purple Vest of Witch,340,A basic armor which is favored by well-experienced mages.,8,
,420,3,132,32250,0,10,62,,,42|42|42,31|45,0|0,39,99,0,0,41,29,,,,3,Purple Vest of Witch,340,A basic armor which is favored by well-experienced mages.,11,
,421,3,132,63975,0,10,51,,,42|42|42,31|65,0|0,39,132,13,7,54,38,,,,4,Shadow Violet Dress,341,A fashionable dress which is favored by powerful mages.,2,
,422,3,132,63975,0,10,51,,,42|42|42,31|65,0|0,39,132,11,7,54,38,,,,4,Shining Violet Dress,341,A fashionable dress which is favored by powerful mages.,3,
,423,3,132,63975,0,10,51,,,42|42|42,31|65,0|0,39,132,12,7,54,38,,,,4,Angelic Violet Dress,341,A fashionable dress which is favored by powerful mages.,4,
,424,3,132,63975,0,10,57,,,42|42|42,31|65,0|0,39,132,10,7,54,38,,,,4,Saintly Violet Dress,341,A fashionable dress which is favored by powerful mages.,5,
,425,3,132,63975,0,10,60,,,42|42|42,31|65,0|0,39,132,15,7,54,38,,,,4,Sage Violet Dress,341,A fashionable dress which is favored by powerful mages.,10,
,426,3,132,63975,0,10,65,,,42|42|42,31|60,0|0,39,132,0,0,54,38,,,,4,Fabulous Violet Dress,341,A fashionable dress which is favored by powerful mages.,8,
,427,3,132,63975,0,10,68,,,42|42|42,31|65,0|0,39,132,0,0,54,38,,,,4,Violet Dress,341,A fashionable dress which is favored by powerful mages.,11,
,428,3,132,111825,0,20,57,,,42|42|42,31|85,0|0,39,165,13,9,69,47,,,,5,Shadow Coat of Shadow,342,A coat that is rumored to cover its wearer in shadow.,2,
,429,3,132,111825,0,20,57,,,42|42|42,31|85,0|0,39,165,11,9,69,47,,,,5,Shining Coat of Shadow,342,A coat that is rumored to cover its wearer in shadow.,3,
,430,3,132,111825,0,20,57,,,42|42|42,31|85,0|0,39,165,12,9,69,47,,,,5,Angelic Coat of Shadow,342,A coat that is rumored to cover its wearer in shadow.,4,
,431,3,132,111825,0,20,62,,,42|42|42,31|85,0|0,39,165,10,9,69,47,,,,5,Saintly Coat of Shadow,342,A coat that is rumored to cover its wearer in shadow.,5,
,432,3,132,111825,0,20,65,,,42|42|42,31|85,0|0,39,165,15,9,69,47,,,,5,Sage Coat of Shadow,342,A coat that is rumored to cover its wearer in shadow.,10,
,433,3,132,111825,0,20,68,,,42|42|42,31|80,0|0,39,165,0,0,69,47,,,,5,Fabulous Coat of Shadow,342,A coat that is rumored to cover its wearer in shadow.,8,
,434,3,132,111825,0,20,71,,,42|42|42,31|85,0|0,39,165,0,0,69,47,,,,5,Coat of Shadow,342,A coat that is rumored to cover its wearer in shadow.,11,
,435,3,132,175350,0,20,62,,,52|52|52,31|105,0|0,39,198,13,11,86,56,,,,6,Shadow Velvet Coat of Witch,343,A coat containing extremely potent magic that can only be worn by adept magic users.,2,
,436,3,132,175350,0,20,62,,,52|52|52,31|105,0|0,39,198,11,11,86,56,,,,6,Shining Velvet Coat of Witch,343,A coat containing extremely potent magic that can only be worn by adept magic users.,3,
,437,3,132,175350,0,20,62,,,52|52|52,31|105,0|0,39,198,12,11,86,56,,,,6,Angelic Velvet Coat of Witch,343,A coat containing extremely potent magic that can only be worn by adept magic users.,4,
,438,3,132,175350,0,20,67,,,52|52|52,31|105,0|0,39,198,10,11,86,56,,,,6,Saintly Velvet Coat of Witch,343,A coat containing extremely potent magic that can only be worn by adept magic users.,5,
,439,3,132,175350,0,20,70,,,52|52|52,31|105,0|0,39,198,15,11,86,56,,,,6,Sage Velvet Coat of Witch,343,A coat containing extremely potent magic that can only be worn by adept magic users.,10,
,440,3,132,175350,0,20,73,,,52|52|52,31|100,0|0,39,198,0,0,86,56,,,,6,Fabulous Velvet Coat of Witch,343,A coat containing extremely potent magic that can only be worn by adept magic users.,8,
,441,3,132,175350,0,20,76,,,52|52|52,31|105,0|0,39,198,0,0,86,56,,,,6,Velvet Coat of Witch,343,A coat containing extremely potent magic that can only be worn by adept magic users.,11,
,442,3,132,267975,0,20,68,,,52|52|52,31|125,0|0,39,231,13,13,105,65,,,,6,Shadow Heavens Coat,344,A coat said to have been worn by those descended from the heavens.,2,
,443,3,132,267975,0,20,68,,,52|52|52,31|125,0|0,39,231,11,13,105,65,,,,6,Shining Heavens Coat,344,A coat said to have been worn by those descended from the heavens.,3,
,444,3,132,267975,0,20,68,,,52|52|52,31|125,0|0,39,231,12,13,105,65,,,,6,Angelic Heavens Coat,344,A coat said to have been worn by those descended from the heavens.,4,
,445,3,132,267975,0,20,73,,,52|52|52,31|125,0|0,39,231,10,13,105,65,,,,6,Saintly Heavens Coat,344,A coat said to have been worn by those descended from the heavens.,5,
,446,3,132,267975,0,20,76,,,52|52|52,31|125,0|0,39,231,15,13,105,65,,,,6,Sage Heavens Coat,344,A coat said to have been worn by those descended from the heavens.,10,
,447,3,132,267975,0,20,79,,,52|52|52,31|120,0|0,39,231,0,0,105,65,,,,6,Fabulous Heavens Coat,344,A coat said to have been worn by those descended from the heavens.,8,
,448,3,132,267975,0,20,82,,,52|52|52,31|125,0|0,39,231,0,0,105,65,,,,6,Heavens Coat,344,A coat said to have been worn by those descended from the heavens.,11,
,449,3,132,381645,0,20,73,,,52|52|52,31|145,0|0,39,264,13,15,126,74,,,,6,Shadow Fairy Vest,345,Cute clothes that were crafted by Aruas Fairy.,2,
,450,3,132,381645,0,20,73,,,52|52|52,31|145,0|0,39,264,11,15,126,74,,,,6,Shining Fairy Vest,345,Cute clothes that were crafted by Aruas Fairy.,3,
,451,3,132,381645,0,20,73,,,52|52|52,31|145,0|0,39,264,12,15,126,74,,,,6,Angelic Fairy Vest,345,Cute clothes that were crafted by Aruas Fairy.,4,
,452,3,132,381645,0,20,78,,,52|52|52,31|145,0|0,39,264,10,15,126,74,,,,6,Saintly Fairy Vest,345,Cute clothes that were crafted by Aruas Fairy.,5,
,453,3,132,381645,0,20,81,,,52|52|52,31|145,0|0,39,264,15,15,126,74,,,,6,Sage Fairy Vest,345,Cute clothes that were crafted by Aruas Fairy.,10,
,454,3,132,381645,0,20,84,,,52|52|52,31|140,0|0,39,264,0,0,126,74,,,,6,Fabulous Fairy Vest,345,Cute clothes that were crafted by Aruas Fairy.,8,
,455,3,132,381645,0,20,87,,,52|52|52,31|145,0|0,39,264,0,0,126,74,,,,6,Fairy Vest,345,Cute clothes that were crafted by Aruas Fairy.,11,
,456,3,132,489240,0,20,78,,,52|52|52,31|165,0|0,39,297,13,17,149,83,,,,6,Shadow Joker Vest,346,Clothes that are usually worn by cheaters and confidence men.,2,
,457,3,132,489240,0,20,78,,,52|52|52,31|165,0|0,39,297,11,17,149,83,,,,6,Shining Joker Vest,346,Clothes that are usually worn by cheaters and confidence men.,3,
,458,3,132,489240,0,20,78,,,52|52|52,31|165,0|0,39,297,12,17,149,83,,,,6,Angelic Joker Vest,346,Clothes that are usually worn by cheaters and confidence men.,4,
,459,3,132,489240,0,20,83,,,52|52|52,31|165,0|0,39,297,10,17,149,83,,,,6,Saintly Joker Vest,346,Clothes that are usually worn by cheaters and confidence men.,5,
,460,3,132,489240,0,20,86,,,52|52|52,31|165,0|0,39,297,15,17,149,83,,,,6,Sage Joker Vest,346,Clothes that are usually worn by cheaters and confidence men.,10,
,461,3,132,489240,0,20,89,,,52|52|52,31|160,0|0,39,297,0,0,149,83,,,,6,Fabulous Joker Vest,346,Clothes that are usually worn by cheaters and confidence men.,8,
,462,3,132,489240,0,20,92,,,52|52|52,31|165,0|0,39,297,0,0,149,83,,,,6,Joker Vest,346,Clothes that are usually worn by cheaters and confidence men.,11,
,463,3,132,803475,0,20,83,,,52|52|52,31|185,0|0,39,330,13,19,174,92,,,,6,Shadow Mysticweaver Vest,347,Clothes designed for intermediate level Mages.,2,
,464,3,132,803475,0,20,83,,,52|52|52,31|185,0|0,39,330,11,19,174,92,,,,6,Shining Mysticweaver Vest,347,Clothes designed for intermediate level Mages.,3,
,465,3,132,803475,0,20,83,,,52|52|52,31|185,0|0,39,330,12,19,174,92,,,,6,Angelic Mysticweaver Vest,347,Clothes designed for intermediate level Mages.,4,
,466,3,132,803475,0,20,88,,,52|52|52,31|185,0|0,39,330,10,19,174,92,,,,6,Saintly Mysticweaver Vest,347,Clothes designed for intermediate level Mages.,5,
,467,3,132,803475,0,20,90,,,52|52|52,31|185,0|0,39,330,15,19,174,92,,,,6,Sage Mysticweaver Vest,347,Clothes designed for intermediate level Mages.,10,
,468,3,132,803475,0,20,92,,,52|52|52,31|180,0|0,39,330,0,0,174,92,,,,6,Fabulous Mysticweaver Vest,347,Clothes designed for intermediate level Mages.,8,
,469,3,132,803475,0,20,94,,,52|52|52,31|175,0|0,39,330,30,2,174,92,,,,6,Epic Mysticweaver Vest,347,Clothes designed for intermediate level Mages.,7,
,470,3,132,1121250,0,20,89,,,52|52|52,31|205,0|0,39,363,13,21,201,101,,,,6,Shadow Serenity Coat,348,A coat that helps its wearer to relax and focus just by wearing it.,2,
,471,3,132,1121250,0,20,89,,,52|52|52,31|205,0|0,39,363,11,21,201,101,,,,6,Shining Serenity Coat,348,A coat that helps its wearer to relax and focus just by wearing it.,3,
,472,3,132,1121250,0,20,89,,,52|52|52,31|205,0|0,39,363,12,21,201,101,,,,6,Angelic Serenity Coat,348,A coat that helps its wearer to relax and focus just by wearing it.,4,
,473,3,132,1121250,0,20,94,,,52|52|52,31|205,0|0,39,363,10,21,201,101,,,,6,Saintly Serenity Coat,348,A coat that helps its wearer to relax and focus just by wearing it.,5,
,474,3,132,1121250,0,20,96,,,52|52|52,31|205,0|0,39,363,15,21,201,101,,,,6,Sage Serenity Coat,348,A coat that helps its wearer to relax and focus just by wearing it.,10,
,475,3,132,1121250,0,20,98,,,52|52|52,31|200,0|0,39,363,0,0,201,101,,,,6,Fabulous Serenity Coat,348,A coat that helps its wearer to relax and focus just by wearing it.,8,
,476,3,132,1121250,0,20,100,,,52|52|52,31|205,0|0,39,363,0,0,201,101,,,,6,Serenity Coat,348,A coat that helps its wearer to relax and focus just by wearing it.,11,
,477,3,132,388875,0,20,76,,,52|52|52,31|225,0|0,39,396,13,23,230,110,,,,6,Shadow Archmage Coat,349,A coat that is especially designed to be worn by advanced Muses.,2,
,478,3,132,388875,0,20,79,,,52|52|52,31|225,0|0,39,396,11,23,230,110,,,,6,Shining Archmage Coat,349,A coat that is especially designed to be worn by advanced Muses.,3,
,479,3,132,388875,0,20,81,,,52|52|52,31|225,0|0,39,396,12,23,230,110,,,,6,Angelic Archmage Coat,349,A coat that is especially designed to be worn by advanced Muses.,4,
,480,3,132,803475,0,20,86,,,52|52|52,31|245,0|0,39,429,13,25,261,119,,,,7,Shadow Dimple Vest,351,A cute classy vest made by a famous designer.,2,
,481,3,132,803475,0,20,86,,,52|52|52,31|245,0|0,39,429,12,25,261,119,,,,7,Angelic Dimple Vest,351,A cute classy vest made by a famous designer.,4,
,501,3,131,4725,0,15,33,,,43|43|43,31|5,0|0,0,0,13,1,24,6,,,,1,Shadow Hunter Chest,364,A basic armor for hawkers.,2,
,502,3,131,4725,0,15,33,,,43|43|43,31|5,0|0,0,0,11,1,24,6,,,,1,Shining Hunter Chest,364,A basic armor for hawkers.,3,
,503,3,131,4725,0,15,33,,,43|43|43,31|5,0|0,0,0,12,1,24,6,,,,1,Angelic Hunter Chest,364,A basic armor for hawkers.,4,
,504,3,131,4725,0,15,41,,,43|43|43,31|5,0|0,0,0,10,1,24,6,,,,1,Saintly Hunter Chest,364,A basic armor for hawkers.,5,
,505,3,131,4725,0,15,45,,,43|43|43,31|5,0|0,0,0,15,1,24,6,,,,1,Sage Hunter Chest,364,A basic armor for hawkers.,10,
,506,3,131,4725,0,15,49,,,43|43|43,31|1,0|0,0,0,0,0,24,6,,,,1,Fabulous Hunter Chest,364,A basic armor for hawkers.,8,
,507,3,131,12900,0,15,40,,,43|43|43,31|25,0|0,0,0,13,3,34,13,,,,2,Shadow Criker Chest,365,A lightweight armor that is suitable for hunting.,2,
,508,3,131,12900,0,15,40,,,43|43|43,31|25,0|0,0,0,11,3,34,13,,,,2,Shining Criker Chest,365,A lightweight armor that is suitable for hunting.,3,
,509,3,131,12900,0,15,40,,,43|43|43,31|25,0|0,0,0,12,3,34,13,,,,2,Angelic Criker Chest,365,A lightweight armor that is suitable for hunting.,4,
,510,3,131,12900,0,15,46,,,43|43|43,31|25,0|0,0,0,10,3,34,13,,,,2,Saintly Criker Chest,365,A lightweight armor that is suitable for hunting.,5,
,511,3,131,12900,0,15,49,,,43|43|43,31|25,0|0,0,0,15,3,34,13,,,,2,Sage Criker Chest,365,A lightweight armor that is suitable for hunting.,10,
,512,3,131,12900,0,15,54,,,43|43|43,31|20,0|0,0,0,0,0,34,13,,,,2,Fabulous Criker Chest,365,A lightweight armor that is suitable for hunting.,8,
,513,3,131,12900,0,15,57,,,43|43|43,31|25,0|0,0,0,0,0,34,13,,,,2,Criker Chest,365,A lightweight armor that is suitable for hunting.,11,
,514,3,131,30450,0,15,47,,,43|43|43,31|45,0|0,0,0,13,5,46,20,,,,3,Shadow Ranger Chest,366,A fashionable armor for well-experienced hunters.,2,
,515,3,131,30450,0,15,47,,,43|43|43,31|45,0|0,0,0,11,5,46,20,,,,3,Shining Ranger Chest,366,A fashionable armor for well-experienced hunters.,3,
,516,3,131,30450,0,15,47,,,43|43|43,31|45,0|0,0,0,12,5,46,20,,,,3,Angelic Ranger Chest,366,A fashionable armor for well-experienced hunters.,4,
